iter	RMSE
0	68583.9857
1	67650.2853
2	66678.80604
3	65910.70017
4	65182.62264
5	64410.26578
6	63704.60821
7	63075.3761
8	62461.19111
9	61775.44335
10	61142.90443
11	60583.27228
12	60015.15936
13	59446.42364
14	58933.1878
15	58446.93239
16	57990.20242
17	57469.77413
18	57005.6397
19	56582.6519
20	56157.65319
21	55829.31031
22	55450.46489
23	55093.19149
24	54827.47373
25	54484.1559
26	54172.12122
27	53958.45049
28	53532.05329
29	53155.89856
30	52951.38524
31	52677.90567
32	52332.43632
33	51973.04325
34	51722.75765
35	51401.21509
36	51176.4473
37	50944.31875
38	50729.33453
39	50501.09704
40	50247.65128
41	50015.0068
42	49822.18011
43	49514.22809
44	49375.00773
45	49289.98191
46	49043.04775
47	48820.89402
48	48611.48417
49	48465.5828
50	48266.87537
51	48097.09061
52	47920.75655
53	47750.83016
54	47542.85221
55	47368.92455
56	47255.4615
57	47082.32592
58	46905.87156
59	46771.51481
60	46584.57095
61	46461.54096
62	46344.82645
63	46205.5462
64	46088.17782
65	45982.10367
66	45861.4883
67	45759.29492
68	45668.71865
69	45562.95609
70	45462.81739
71	45348.86903
72	45250.36617
73	45136.2634
74	45049.13953
75	44978.28295
76	44925.74699
77	44862.99572
78	44811.93102
79	44677.90985
80	44596.47166
81	44492.80291
82	44443.7698
83	44344.36095
84	44280.00632
85	44136.84614
86	44062.35663
87	43998.02222
88	43927.59286
89	43857.91443
90	43826.60018
91	43750.13854
92	43672.60217
93	43648.57299
94	43562.48559
95	43455.27881
96	43381.69419
97	43357.80258
98	43316.5255
99	43259.12708
100	43184.03442
101	43096.48514
102	43016.73399
103	42972.85995
104	42955.11481
105	42903.39668
106	42852.2238
107	42817.3823
108	42772.78222
109	42712.87388
110	42641.61505
111	42532.10187
112	42497.07412
113	42441.43745
114	42399.53542
115	42324.51267
116	42301.41358
117	42216.91179
118	42132.1935
119	42119.15106
120	42092.46821
121	42027.19652
122	41974.17495
123	41926.33225
124	41888.77596
125	41877.09037
126	41826.33847
127	41816.51867
128	41777.37314
129	41735.92878
130	41695.21966
131	41624.59174
132	41588.92966
133	41554.21971
134	41513.43493
135	41450.53862
136	41398.29188
137	41382.16547
138	41337.85383
139	41277.02359
140	41234.59127
141	41222.66455
142	41188.57038
143	41143.66825
144	41121.79358
145	41080.93269
146	41026.32814
147	41000.72111
148	40928.18554
149	40919.12355
150	40898.7634
151	40852.87756
152	40819.22423
153	40772.9751
154	40710.50412
155	40690.67269
156	40632.20666
157	40614.67063
158	40580.16502
159	40532.91007
160	40507.01223
161	40467.35111
162	40439.11205
163	40406.29374
164	40367.92245
165	40330.68685
166	40301.79484
167	40247.76005
168	40227.1359
169	40164.77498
170	40123.95594
171	40086.81917
172	40053.21907
173	40019.77687
174	40009.63764
175	39965.88054
176	39941.47157
177	39883.24753
178	39852.62458
179	39821.68535
180	39798.6615
181	39772.54972
182	39738.37871
183	39698.00477
184	39650.61541
185	39622.15056
186	39600.98408
187	39592.34827
188	39563.21647
189	39517.40663
190	39495.45356
191	39436.26949
192	39432.89735
193	39405.37719
194	39378.64011
195	39313.4567
196	39301.90663
197	39275.10405
198	39239.06644
199	39202.92689
200	39162.77913
201	39110.5005
202	39081.81772
203	39058.13744
204	39019.7144
205	38988.70328
206	38954.92597
207	38907.86536
208	38886.34042
209	38854.07523
210	38830.18831
211	38801.57521
212	38776.45488
213	38765.09489
214	38740.1905
215	38724.40652
216	38687.54287
217	38657.44988
218	38629.19492
219	38580.6324
220	38557.52176
221	38530.47292
222	38511.00587
223	38483.06125
224	38468.08435
225	38430.91171
226	38410.45493
227	38366.12002
228	38330.61468
229	38309.37403
230	38283.67226
231	38248.27421
