iter	Passed	Remaining
0	162	162513
1	164	82063
2	165	55162
3	167	41699
4	168	33588
5	170	28185
6	171	24340
7	172	21407
8	173	19119
9	174	17280
10	175	15765
11	176	14499
12	176	13430
13	177	12523
14	178	11734
15	179	11041
16	180	10426
17	181	9881
18	181	9391
19	182	8956
20	183	8556
21	184	8190
22	184	7851
23	185	7546
24	186	7262
25	186	6996
26	187	6751
27	187	6517
28	188	6305
29	188	6108
30	189	5920
31	189	5746
32	190	5582
33	191	5427
34	191	5283
35	192	5145
36	192	5016
37	193	4891
38	193	4774
39	194	4665
40	194	4557
41	195	4456
42	195	4361
43	196	4268
44	196	4179
45	197	4090
46	197	4009
47	198	3932
48	198	3857
49	199	3785
50	199	3717
51	200	3649
52	200	3586
53	201	3524
54	201	3466
55	202	3408
56	202	3353
57	203	3299
58	203	3247
59	204	3198
60	204	3148
61	204	3100
62	205	3054
63	205	3009
64	206	2967
65	206	2924
66	207	2885
67	207	2846
68	208	2809
69	208	2772
70	209	2735
71	209	2701
72	210	2668
73	210	2635
74	211	2602
75	211	2570
76	211	2539
77	212	2508
78	212	2480
79	213	2451
80	213	2425
81	214	2398
82	214	2370
83	215	2345
84	215	2319
85	215	2294
86	216	2269
87	216	2246
88	217	2223
89	217	2202
90	218	2180
91	218	2158
92	219	2137
93	219	2117
94	220	2096
95	220	2077
96	221	2058
97	221	2038
98	221	2020
99	222	2001
100	222	1983
101	223	1966
102	223	1948
103	224	1932
104	224	1914
105	225	1898
106	225	1883
107	226	1867
108	226	1852
109	227	1837
110	227	1822
111	228	1808
112	228	1794
113	229	1781
114	229	1767
115	230	1754
116	230	1741
117	231	1728
118	231	1715
119	232	1702
120	232	1689
121	233	1677
122	233	1665
123	234	1653
124	234	1642
125	235	1630
126	235	1618
127	235	1607
128	236	1596
129	236	1585
130	237	1573
131	237	1563
132	238	1552
133	238	1542
134	239	1532
135	239	1522
136	240	1512
137	240	1501
138	240	1492
139	241	1482
140	241	1473
141	242	1463
142	242	1454
143	243	1445
144	243	1435
145	243	1427
146	244	1418
147	244	1410
148	245	1401
149	245	1392
150	246	1384
151	246	1376
152	247	1368
153	247	1360
154	248	1353
155	248	1345
156	249	1337
157	249	1330
158	250	1322
159	250	1315
160	250	1307
161	251	1299
162	251	1292
163	252	1285
164	252	1278
165	253	1271
166	253	1265
167	254	1258
168	254	1252
169	255	1245
170	255	1239
171	256	1233
172	256	1226
173	256	1219
174	257	1213
175	257	1207
176	258	1201
177	258	1195
178	259	1190
179	260	1184
180	260	1178
181	261	1173
182	261	1167
183	262	1161
184	262	1156
185	262	1150
186	263	1144
187	263	1138
188	264	1133
189	264	1127
190	265	1122
191	265	1117
192	265	1111
193	266	1106
194	266	1100
195	267	1095
196	267	1090
197	268	1086
198	268	1081
199	269	1076
200	269	1071
201	270	1067
202	270	1062
203	271	1057
204	271	1053
205	272	1048
206	272	1044
207	273	1039
208	273	1034
209	273	1030
210	274	1026
211	274	1021
212	275	1017
213	275	1012
214	276	1008
215	276	1004
216	277	1000
217	277	996
218	278	992
219	278	988
220	279	984
221	279	980
222	280	976
223	280	972
224	281	968
225	281	964
226	282	960
227	282	956
228	283	953
229	283	949
230	284	945
231	284	941
232	284	937
233	285	934
234	285	930
235	286	927
236	286	923
237	287	919
238	287	916
239	288	912
240	288	909
241	289	905
242	289	902
243	290	899
244	290	895
245	291	892
246	291	889
247	292	885
248	292	882
249	293	879
250	293	876
251	294	872
252	294	869
253	295	866
254	295	862
255	295	859
256	296	856
257	296	853
258	297	850
259	297	847
260	298	844
261	298	841
262	299	839
263	300	836
264	300	833
265	301	830
266	301	827
267	302	825
268	302	822
269	303	819
270	303	816
271	303	813
272	304	810
273	304	808
274	305	805
275	305	802
276	306	799
277	306	797
278	307	794
279	307	791
280	308	788
281	308	786
282	309	783
283	309	780
284	310	778
285	310	775
286	311	772
287	311	770
288	312	768
289	313	766
290	313	764
291	314	761
292	314	759
293	315	756
294	315	754
295	316	752
296	316	749
297	317	747
298	317	744
299	318	742
300	318	740
301	319	737
302	319	735
303	320	733
304	320	730
305	321	728
306	321	726
307	322	723
308	322	721
309	323	719
310	323	717
311	324	714
312	324	712
313	325	710
314	325	708
315	326	706
316	326	703
317	327	701
318	327	699
319	328	697
320	328	695
321	329	693
322	329	691
323	330	688
324	330	686
325	331	684
326	331	682
327	332	680
328	332	678
329	333	676
330	333	674
331	334	672
332	334	670
333	335	668
334	335	666
335	336	664
336	336	662
337	337	660
338	337	658
339	338	656
340	338	654
341	339	652
342	339	650
343	340	648
344	340	647
345	341	645
346	342	643
347	342	641
348	343	640
349	343	638
350	344	636
351	344	634
352	345	632
353	345	630
354	346	628
355	346	626
356	347	625
357	347	623
358	348	621
359	348	619
360	349	617
361	349	616
362	350	614
363	350	612
364	351	610
365	351	608
366	352	607
367	352	605
368	353	603
369	353	602
370	354	600
371	354	598
372	355	596
373	355	595
374	356	593
