id,salary_in_usd
0,259996
1,87013
2,82475
3,44838
4,5852
5,35271
6,59403
7,40595
8,45774
9,171284
10,42000
11,142514
12,130778
13,18816
14,39597
15,36648
16,66331
17,110007
18,64356
19,80201
20,27501
21,44942
22,180948
23,199997
24,20001
25,99995
26,94996
27,219981
28,115234
29,229999
30,85002
31,76253
32,58401
33,74001
34,21843
35,51485
36,195018
37,13219
38,20788
39,185000
40,25201
41,15602
42,82475
43,142514
44,94996
45,600003
46,108571
47,54437
48,76253
49,84998
50,58020
51,42769
52,129812
53,108571
54,88367
55,78036
56,193455
57,109938
58,133549
59,166990
60,133549
61,167892
62,166990
63,166990
64,164983
65,183035
66,183035
67,166990
68,133549
69,114030
70,119975
71,171284
72,57949
73,44512
74,60010
75,108571
76,44561
77,78036
78,124986
79,36005
80,18196
81,31212
82,99989
83,144005
84,88367
85,125965
86,125965
87,193455
88,166990
89,28708
90,75000
91,31507
92,84148
93,39989
94,166990
95,120000
96,149995
97,67789
98,84939
99,205300
100,166990
101,133549
102,133549
103,183035
104,193455
105,52035
106,133549
