id,salary_in_usd
0,260000
1,87000
2,85000
3,44850
4,5850
5,35280
6,59400
7,40590
8,45760
9,188000
10,42000
11,120000
12,130800
13,18810
14,39600
15,36630
16,66330
17,110000
18,64350
19,80190
20,27500
21,44947
22,180950
23,200000
24,20000
25,100000
26,100000
27,220000
28,115200
29,230000
30,85000
31,80000
32,58410
33,74000
34,21844
35,51480
36,195000
37,13224
38,20790
39,185000
40,25200
41,15600
42,80000
43,165000
44,90000
45,600000
46,111775
47,54450
48,72500
49,85000
50,58000
51,42768
52,130000
53,150000
54,126500
55,72000
56,165220
57,110000
58,112900
59,243900
60,109280
61,167875
62,156600
63,136000
64,164996
65,208775
66,147800
67,132320
68,164000
69,114000
70,120000
71,154600
72,58000
73,44550
74,60000
75,63900
76,44550
77,84000
78,125000
79,36000
80,18200
81,31200
82,100000
83,144000
84,50000
85,168000
86,84000
87,185100
88,210000
89,28710
90,75000
91,31500
92,84150
93,40000
94,115000
95,120000
96,150000
97,67760
98,85000
99,205300
100,175100
101,116150
102,170000
103,192564
104,230000
105,52000
106,129000
